Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days
107,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN JN.,Saturday
108,VLNK-MAO-SWV,MADGOAN JN.,SAWANTWADI ROAD,Friday
128,MAO-KOP SPEC,MADGOAN JN.,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Friday
290,PALACE ON WH,DELHI-SAFDAR JANG,DELHI-SAFDAR JANG,Wednesday
401,BSB BHARATDA,AURANGABAD,VARANASI JN.,Saturday
421,LKO-SVDK FTR,LUCKNOW JN.,SHRI MATA VAISHNO DEVI KATRA,Tuesday
422,SVDK-LKO FTR,SHRI MATA VAISHNO DEVI KATRA,LUCKNOW JN.,Monday
477,FTR TRAIN NO,SIRSA,SIRSA,Sunday
502,RJPB-UMB FTR,RAJENDRANAGAR TERMINAL,AMBALA CANTT JN,Monday
504,PNBE-BTI FTR,PATNA JN.,BATHINDA JN,Wednesday
506,PNBE-PTA FTR,PATNA JN.,PATIALA,Friday
557,RSD-PJP BSF,URKURA,PANJIPARA,Wednesday
604,PNBE-ASR FTR,PATNA JN.,AMRITSAR JN.,Thursday
6001,MS-TEN SPECI,CHENNAI EGMORE,TIRUNELVELI JN,Friday
6002,TEN - MS SPE,TIRUNELVELI JN,CHENNAI EGMORE,Wednesday
6006,ERS-MAS SPL,ERNAKULAM. JN,CHENNAI CENTRAL,Tuesday
6009,SRC-PDY SPL,SANTRAGACHI JN.,PONDICHERRY,Tuesday
6010,PDY-SRC SPL,PONDICHERRY,SANTRAGACHI JN.,Monday
6041,MAS-QLN SPEC,CHENNAI CENTRAL,QUILON,Monday
6042,QLN-MAS SPEC,QUILON,CHENNAI CENTRAL,Thursday
6043,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,Saturday
6044,QLN-MAS  SPL,QUILON,CHENNAI CENTRAL,Friday
6046,QLN-MAS SPEC,QUILON,CHENNAI CENTRAL,Tuesday
6047,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,Friday
6048,QLN- MAS SPL,QUILON,CHENNAI CENTRAL,Tuesday
6049,MS-QLN SPL F,CHENNAI EGMORE,QUILON,Monday
6050,QLN-MS  SPL,QUILON,CHENNAI EGMORE,Wednesday
6053,KCVL-MAJN S/,KOCHUVELI,MANGALORE JN,Saturday
6054,MAJN-KCVL S/,MANGALORE JN,KOCHUVELI,Sunday
6057,SRC-MAS  SPL,SANTRAGACHI JN.,CHENNAI CENTRAL,Friday
6058,MAS-SRC  EXP,CHENNAI CENTRAL,SANTRAGACHI JN.,Tuesday
6065,CGL-MDU SPL,CHENGALPATTU,MADURAI JN,Monday
6066,MDU-CGL SPL,MADURAI JN,CHENGALPATTU,Tuesday
6067,CGL-CBE TRI-,CHENGALPATTU,COIMBATORE  JN.,Sunday
6068,CBE-CGL TRI-,COIMBATORE  JN.,CHENGALPATTU,Saturday
6081,CBE-POY PASS,COIMBATORE  JN.,POLLACHI,Friday
6082,POY-CBE PASS,POLLACHI,COIMBATORE  JN.,Thursday
99903,TGN-PUNE EMU,TALEGAON,PUNE JN.,Wednesday
99904,PUNE-TGN EMU,PUNE JN.,TALEGAON,Tuesday
99906,EMU,PUNE JN.,TALEGAON,Wednesday
99907,EMU,TALEGAON,PUNE JN.,Thursday
99908,EMU,PUNE JN.,TALEGAON,Sunday
